date time,cpu usage(%),mem usage(bytes),gpu usage(%),disk usage(%),network upload speed(Bps),network download speed(Bps)
2023/12/27 14:53:10,0.28,20050000000,2,0.47,213,108
2023/12/27 14:53:11,0.46,20051000000,1,0.61,273,108
2023/12/27 14:53:12,0.47,20050000000,1,0.46,0,0
2023/12/27 14:53:13,0,20050000000,3,1.43,429,288
2023/12/27 14:53:14,0,20048000000,1,1.52,449,325
2023/12/27 14:53:15,0.49,20051000000,1,0.17,230,162
2023/12/27 14:53:16,0.22,20058000000,1,0.89,237,108
2023/12/27 14:53:17,0.27,20049000000,4,0.81,6000,5000
2023/12/27 14:53:18,0.47,20052000000,2,0.64,1000,54
2023/12/27 14:53:19,0.38,20041000000,3,0.37,7000,6000
2023/12/27 14:53:20,0.23,20035000000,4,0.48,552,260
2023/12/27 14:53:21,0.68,20026000000,2,0.73,6000,5000
2023/12/27 14:53:22,0.74,20024000000,2,0.48,437,326
2023/12/27 14:53:23,0.28,20030000000,2,0.34,204,109
2023/12/27 14:53:24,0.76,20052000000,2,0.69,176,217
2023/12/27 14:53:25,0,20066000000,5,0.65,566,492
2023/12/27 14:53:26,0.41,20072000000,1,0.71,396,330
2023/12/27 14:53:27,0,20067000000,1,0.41,450,330
2023/12/27 14:53:28,2.05,20083000000,2,0.54,546,660
2023/12/27 14:53:29,0.01,20076000000,1,1.15,252,110
2023/12/27 14:53:30,0.08,20077000000,2,0.17,198,165
2023/12/27 14:53:31,1.1,20080000000,1,0.49,270,236
2023/12/27 14:53:32,0.01,20093000000,4,0.7,101,6000
2023/12/27 14:53:33,0.1,20081000000,2,0.66,701,108
2023/12/27 14:53:34,0.64,20052000000,5,0.37,13000,3000
2023/12/27 14:53:35,0.58,20036000000,2,0.47,5000,763
2023/12/27 14:53:36,0.9,20000000000,6,1.67,16000,8000
2023/12/27 14:53:37,0.46,19982000000,3,1.85,367,71
2023/12/27 14:53:38,2.53,19984000000,1,0.17,534,384
2023/12/27 14:53:39,0.42,19984000000,3,0.81,464,193
2023/12/27 14:53:40,0,19991000000,2,1.28,4000,3000
2023/12/27 14:53:41,0.78,19994000000,1,0.53,2000,1000
2023/12/27 14:53:42,0.28,19993000000,3,0.35,126,109
2023/12/27 14:53:43,0.45,20040000000,5,4.87,12000,8000
2023/12/27 14:53:44,2.59,20044000000,2,1.51,276,216
2023/12/27 14:53:45,1.37,20033000000,5,0.76,12000,18000
2023/12/27 14:53:46,1.08,20034000000,11,1.96,30000,4000
2023/12/27 14:53:47,0.48,20039000000,12,3.37,147,378
2023/12/27 14:53:48,1.12,20038000000,10,1.51,1000,220
2023/12/27 14:53:49,0.13,20043000000,10,0.37,252,180
2023/12/27 14:53:50,0.54,20051000000,11,2.77,27000,2000
2023/12/27 14:53:51,0.86,20056000000,1,2.01,126,55
2023/12/27 14:53:52,1.55,20072000000,1,2.14,27000,7000
2023/12/27 14:53:53,0.57,20059000000,8,0.56,138,54
2023/12/27 14:53:54,0.13,20056000000,10,2.18,344,240
2023/12/27 14:53:55,0,20056000000,11,1.71,2000,4000
2023/12/27 14:53:56,0.86,20063000000,3,2.42,60,54
2023/12/27 14:53:57,1.78,20055000000,3,0.36,20000,5000
2023/12/27 14:53:58,2.14,20045000000,4,1.76,2000,4000
2023/12/27 14:53:59,0.13,20044000000,2,2.16,5000,6000
2023/12/27 14:54:00,0.58,20043000000,1,1.21,66,54
2023/12/27 14:54:01,0,20067000000,1,0.51,459,2000
2023/12/27 14:54:02,0.12,20065000000,2,1.07,180,220
2023/12/27 14:54:03,2.09,20058000000,2,1.55,198,54
2023/12/27 14:54:04,0.4,20059000000,2,0.54,176,541
2023/12/27 14:54:05,1.29,20078000000,2,1.34,2000,422
2023/12/27 14:54:06,1.08,20075000000,1,1.31,1000,54
2023/12/27 14:54:07,1.08,20072000000,2,1.53,893,255
